Acid Type,Quantity,Storage Temperature,Container Material,Exposure Time,Ventilation Quality,Safety Equipment,Storage Area,Previous Incident,Risk Level
Ascorbic Acid (C₆H₈O₆),95,75,Fiber-Reinforced Plastic (FRP),99,Moderate,"Eye Wash Station Access, Lab Coat, Respirator Mask, Full Body Protective Suit, Safety Goggles",Chemical Storage Room,Toxic Gas Release,HIGH RISK
Propionic Acid (C₃H₆O₂),156,63,HDPE Plastic,79,Poor,"Chemical-resistant Gloves, Safety Goggles, Safety Boots, Full Body Protective Suit, Eye Wash Station Access",Hazardous Material Room,Corrosion Damage,HIGH RISK
Perchloric Acid (HClO₄),10,16,PTFE (Teflon-lined),15,Good,"Safety Boots, Chemical-resistant Gloves, Gloves, Face Shield",Chemical Storage Room,Container Leakage,LOW RISK
Monochloroacetic Acid (C₂H₃ClO₂),12,19,Stainless Steel,2,Good,"Face Shield, Chemical Suit, Safety Boots, Eye Wash Station Access, Safety Goggles",Hazardous Material Room,Container Leakage,LOW RISK
Formic Acid (HCOOH),9,24,Fiber-Reinforced Plastic (FRP),14,Poor,"Gloves, Chemical-resistant Gloves",Hazardous Material Room,Acid Burn,LOW RISK
Selenic Acid (H₂SeO₄),35,38,Stainless Steel,21,Industrial Ventilation System,"Safety Goggles, Face Shield",Outdoor Storage,Acid Spill,MEDIUM RISK
Salicylic Acid (C₇H₆O₃),130,63,Polypropylene,54,Low,"Face Shield, Eye Wash Station Access",Outdoor Storage,Container Leakage,HIGH RISK
Hydrochloric Acid (HCl),120,66,Borosilicate Glass,34,Moderate,"Eye Wash Station Access, Chemical-resistant Gloves, Full Body Protective Suit, Safety Goggles",Factory Floor,Corrosion Damage,HIGH RISK
Silicic Acid (H₄SiO₄),167,117,Glass,161,Moderate,"Lab Coat, Full Body Protective Suit, Respirator Mask, Safety Goggles",Chemical Storage Room,Acid Burn,CRITICAL RISK
Nitric Acid (HNO₃),5,27,Polypropylene,1,Poor,"Respirator Mask, Safety Boots",Underground Storage,Acid Spill,LOW RISK
Picric Acid (C₆H₃N₃O₇),111,50,Fiber-Reinforced Plastic (FRP),64,Moderate,Chemical-resistant Gloves,Underground Storage,Explosion Risk,HIGH RISK
Malic Acid (C₄H₆O₅),457,71,Stainless Steel,142,Poor,Chemical Suit,Underground Storage,Acid Burn,CRITICAL RISK
Perchloric Acid (HClO₄),12,27,Fiber-Reinforced Plastic (FRP),7,High,"Safety Boots, Respirator Mask, Lab Coat, Chemical-resistant Gloves, Face Shield",Warehouse,Acid Spill,LOW RISK
Maleic Acid (C₄H₄O₄),14,27,Polypropylene,8,Poor,Full Body Protective Suit,Underground Storage,Explosion Risk,LOW RISK
Methacrylic Acid (C₄H₆O₂),137,72,Polypropylene,86,High,Face Shield,Factory Floor,Acid Burn,HIGH RISK
Malic Acid (C₄H₆O₅),271,70,PVC (Polyvinyl Chloride),189,High,"Chemical-resistant Gloves, Full Body Protective Suit",Underground Storage,Acid Spill,CRITICAL RISK
Methacrylic Acid (C₄H₆O₂),73,70,Fiber-Reinforced Plastic (FRP),80,Moderate,Full Body Protective Suit,Underground Storage,Container Leakage,HIGH RISK
Caproic Acid (C₆H₁₂O₂),13,30,Borosilicate Glass,26,Moderate,"Full Body Protective Suit, Face Shield, Gloves, Chemical Suit",Warehouse,None,MEDIUM RISK
Bromic Acid (HBrO₃),72,77,Carbon Steel (coated),58,Fume Hood Ventilation,"Full Body Protective Suit, Safety Boots, Eye Wash Station Access, Safety Goggles",Chemical Storage Room,Explosion Risk,HIGH RISK
Pyruvic Acid (C₃H₄O₃),13,17,Polypropylene,13,High,Full Body Protective Suit,Underground Storage,Explosion Risk,LOW RISK
Monochloroacetic Acid (C₂H₃ClO₂),6,17,PVC (Polyvinyl Chloride),12,Industrial Ventilation System,Respirator Mask,Chemical Storage Room,Acid Spill,LOW RISK
Monochloroacetic Acid (C₂H₃ClO₂),9,24,Glass,8,High,"Eye Wash Station Access, Gloves",Hazardous Material Room,None,LOW RISK
Perchloric Acid (HClO₄),70,48,PTFE (Teflon-lined),54,Moderate,"Full Body Protective Suit, Face Shield",Factory Floor,Corrosion Damage,HIGH RISK
Tannic Acid (C₇₆H₅₂O₄₆),66,77,Carbon Steel (coated),85,High,"Respirator Mask, Gloves, Eye Wash Station Access, Chemical Suit",Outdoor Storage,Corrosion Damage,HIGH RISK
Formic Acid (HCOOH),114,79,HDPE Plastic,53,High,"Gloves, Safety Goggles, Chemical-resistant Gloves",Cold Storage Unit,Toxic Gas Release,HIGH RISK
Trifluoroacetic Acid (CF₃COOH),119,59,Ceramic Containers,37,Industrial Ventilation System,Respirator Mask,Outdoor Storage,Container Leakage,HIGH RISK
Fumaric Acid (C₄H₄O₄),5,30,Borosilicate Glass,0,Good,"Full Body Protective Suit, Safety Boots, Chemical Suit",Factory Floor,Acid Burn,LOW RISK
Fumaric Acid (C₄H₄O₄),8,26,PVC (Polyvinyl Chloride),12,High,"Eye Wash Station Access, Chemical-resistant Gloves",Factory Floor,Corrosion Damage,LOW RISK
Succinic Acid (C₄H₆O₄),15,27,PVC (Polyvinyl Chloride),14,Good,Safety Goggles,Laboratory,Fire Hazard,LOW RISK
Acrylic Acid (C₃H₄O₂),46,31,Ceramic Containers,20,High,"Safety Goggles, Eye Wash Station Access",Outdoor Storage,Toxic Gas Release,MEDIUM RISK
Peracetic Acid (C₂H₄O₃),36,26,Stainless Steel,35,Good,Respirator Mask,Factory Floor,Fire Hazard,MEDIUM RISK
Palmitic Acid (C₁₆H₃₂O₂),409,81,Borosilicate Glass,217,Industrial Ventilation System,"Safety Boots, Respirator Mask, Chemical Suit, Lab Coat, Eye Wash Station Access",Factory Floor,Acid Spill,CRITICAL RISK
Tannic Acid (C₇₆H₅₂O₄₆),41,26,Carbon Steel (coated),14,Good,"Full Body Protective Suit, Lab Coat, Chemical Suit, Face Shield, Gloves",Laboratory,Container Leakage,MEDIUM RISK
Selenic Acid (H₂SeO₄),85,48,Carbon Steel (coated),99,High,Safety Goggles,Cold Storage Unit,Acid Spill,HIGH RISK
Pyruvic Acid (C₃H₄O₃),141,79,Stainless Steel,50,Industrial Ventilation System,"Full Body Protective Suit, Respirator Mask, Safety Boots, Chemical Suit",Laboratory,Corrosion Damage,HIGH RISK
Adipic Acid (C₆H₁₀O₄),395,80,Ceramic Containers,148,Moderate,Chemical Suit,Laboratory,Explosion Risk,CRITICAL RISK
Iodic Acid (HIO₃),23,28,Stainless Steel,28,Good,"Eye Wash Station Access, Respirator Mask, Full Body Protective Suit, Chemical-resistant Gloves",Hazardous Material Room,None,MEDIUM RISK
Tannic Acid (C₇₆H₅₂O₄₆),28,34,PVC (Polyvinyl Chloride),17,Industrial Ventilation System,"Chemical-resistant Gloves, Safety Goggles, Chemical Suit, Eye Wash Station Access, Face Shield",Warehouse,Explosion Risk,MEDIUM RISK
Monochloroacetic Acid (C₂H₃ClO₂),7,23,Ceramic Containers,2,Industrial Ventilation System,"Safety Boots, Eye Wash Station Access, Chemical Suit",Warehouse,Acid Burn,LOW RISK
Oleic Acid (C₁₈H₃₄O₂),6,16,Stainless Steel,4,Fume Hood Ventilation,Chemical Suit,Underground Storage,Acid Spill,LOW RISK
Acetic Acid (CH₃COOH),8,25,Ceramic Containers,9,Industrial Ventilation System,"Lab Coat, Face Shield, Safety Goggles, Full Body Protective Suit",Cold Storage Unit,Toxic Gas Release,LOW RISK
Perchloric Acid (HClO₄),82,70,Carbon Steel (coated),37,Low,Safety Goggles,Warehouse,Fire Hazard,HIGH RISK
Selenic Acid (H₂SeO₄),89,47,Ceramic Containers,32,Industrial Ventilation System,Chemical-resistant Gloves,Chemical Storage Room,Corrosion Damage,HIGH RISK
Caproic Acid (C₆H₁₂O₂),36,26,Ceramic Containers,13,Fume Hood Ventilation,Eye Wash Station Access,Outdoor Storage,Acid Burn,MEDIUM RISK
Adipic Acid (C₆H₁₀O₄),4,23,HDPE Plastic,10,Low,"Chemical-resistant Gloves, Safety Boots, Lab Coat, Chemical Suit, Safety Goggles",Cold Storage Unit,Acid Burn,LOW RISK
Thiocyanic Acid (HSCN),59,39,PTFE (Teflon-lined),25,Moderate,Full Body Protective Suit,Laboratory,Acid Spill,MEDIUM RISK
Citric Acid (C₆H₈O₇),386,70,Ceramic Containers,194,Moderate,"Safety Goggles, Gloves, Face Shield",Warehouse,Corrosion Damage,CRITICAL RISK
Hypochlorous Acid (HClO),15,21,Fiber-Reinforced Plastic (FRP),5,Moderate,"Chemical Suit, Safety Boots",Warehouse,Fire Hazard,LOW RISK
Methacrylic Acid (C₄H₆O₂),333,71,Borosilicate Glass,91,Low,"Safety Boots, Chemical Suit, Gloves, Safety Goggles",Laboratory,Acid Burn,CRITICAL RISK
Perchloric Acid (HClO₄),59,76,Stainless Steel,56,Industrial Ventilation System,"Gloves, Eye Wash Station Access",Cold Storage Unit,Toxic Gas Release,HIGH RISK
Hypochlorous Acid (HClO),155,42,Borosilicate Glass,58,Industrial Ventilation System,"Chemical Suit, Safety Goggles, Gloves, Full Body Protective Suit, Respirator Mask",Underground Storage,Acid Spill,HIGH RISK
Benzoic Acid (C₇H₆O₂),12,19,Glass,14,Low,"Respirator Mask, Gloves, Full Body Protective Suit, Chemical-resistant Gloves",Laboratory,Acid Burn,LOW RISK
Chromic Acid (H₂CrO₄),11,18,Ceramic Containers,13,Low,"Gloves, Respirator Mask, Lab Coat, Safety Boots",Warehouse,None,LOW RISK
Fumaric Acid (C₄H₄O₄),30,34,Polypropylene,26,Industrial Ventilation System,"Face Shield, Lab Coat, Gloves",Warehouse,Acid Burn,MEDIUM RISK
Selenic Acid (H₂SeO₄),157,94,Borosilicate Glass,138,Good,"Respirator Mask, Safety Goggles, Chemical Suit, Gloves",Chemical Storage Room,Toxic Gas Release,CRITICAL RISK
Adipic Acid (C₆H₁₀O₄),12,23,Borosilicate Glass,15,Fume Hood Ventilation,"Respirator Mask, Chemical-resistant Gloves, Gloves",Cold Storage Unit,Fire Hazard,LOW RISK
Chromic Acid (H₂CrO₄),81,42,PVC (Polyvinyl Chloride),48,Industrial Ventilation System,"Safety Goggles, Gloves, Full Body Protective Suit, Chemical-resistant Gloves, Face Shield",Outdoor Storage,Explosion Risk,HIGH RISK
Valeric Acid (C₅H₁₀O₂),5,19,Stainless Steel,5,Moderate,"Chemical-resistant Gloves, Respirator Mask, Safety Boots, Safety Goggles",Outdoor Storage,Corrosion Damage,LOW RISK
Oxalic Acid (C₂H₂O₄),39,44,Fiber-Reinforced Plastic (FRP),24,Good,Chemical-resistant Gloves,Outdoor Storage,Corrosion Damage,MEDIUM RISK
Maleic Acid (C₄H₄O₄),404,104,Stainless Steel,240,Poor,"Safety Goggles, Lab Coat, Face Shield",Outdoor Storage,Acid Burn,CRITICAL RISK
Adipic Acid (C₆H₁₀O₄),73,43,Carbon Steel (coated),72,Good,"Full Body Protective Suit, Chemical Suit",Cold Storage Unit,Corrosion Damage,HIGH RISK
Peracetic Acid (C₂H₄O₃),387,120,PVC (Polyvinyl Chloride),231,High,"Chemical-resistant Gloves, Chemical Suit, Eye Wash Station Access, Respirator Mask",Cold Storage Unit,Container Leakage,CRITICAL RISK
Salicylic Acid (C₇H₆O₃),5,17,Polypropylene,0,Poor,"Eye Wash Station Access, Face Shield, Safety Goggles, Safety Boots",Underground Storage,None,LOW RISK
Fumaric Acid (C₄H₄O₄),418,74,Carbon Steel (coated),139,Poor,"Safety Boots, Full Body Protective Suit, Chemical Suit, Eye Wash Station Access, Safety Goggles",Chemical Storage Room,Corrosion Damage,CRITICAL RISK
Pyruvic Acid (C₃H₄O₃),453,91,Borosilicate Glass,165,Poor,"Full Body Protective Suit, Eye Wash Station Access, Chemical-resistant Gloves",Outdoor Storage,Acid Spill,CRITICAL RISK
Perchloric Acid (HClO₄),119,61,Polypropylene,51,High,Safety Goggles,Factory Floor,Explosion Risk,HIGH RISK
Carbonic Acid (H₂CO₃),452,109,PVC (Polyvinyl Chloride),160,Low,"Safety Boots, Respirator Mask, Chemical Suit",Underground Storage,Fire Hazard,CRITICAL RISK
Iodic Acid (HIO₃),331,114,Ceramic Containers,134,Low,Full Body Protective Suit,Cold Storage Unit,Acid Spill,CRITICAL RISK
Trifluoroacetic Acid (CF₃COOH),15,26,Stainless Steel,1,High,"Gloves, Face Shield, Chemical-resistant Gloves, Lab Coat, Full Body Protective Suit",Underground Storage,Toxic Gas Release,LOW RISK
Malic Acid (C₄H₆O₅),85,46,Glass,60,Low,"Chemical Suit, Full Body Protective Suit, Gloves, Eye Wash Station Access, Respirator Mask",Hazardous Material Room,Acid Spill,HIGH RISK
Stearic Acid (C₁₈H₃₆O₂),42,77,Ceramic Containers,61,Low,"Respirator Mask, Chemical Suit, Chemical-resistant Gloves, Gloves, Full Body Protective Suit",Cold Storage Unit,Corrosion Damage,HIGH RISK
Hydrochloric Acid (HCl),6,20,PTFE (Teflon-lined),15,Poor,"Safety Boots, Chemical-resistant Gloves, Full Body Protective Suit, Face Shield",Cold Storage Unit,Explosion Risk,LOW RISK
Thiocyanic Acid (HSCN),128,49,Fiber-Reinforced Plastic (FRP),48,Poor,"Face Shield, Lab Coat",Factory Floor,Container Leakage,HIGH RISK
Malic Acid (C₄H₆O₅),304,78,Borosilicate Glass,111,Poor,"Full Body Protective Suit, Safety Boots, Eye Wash Station Access, Chemical Suit",Outdoor Storage,Explosion Risk,CRITICAL RISK
Succinic Acid (C₄H₆O₄),147,63,Borosilicate Glass,72,Industrial Ventilation System,"Respirator Mask, Full Body Protective Suit, Eye Wash Station Access, Chemical-resistant Gloves",Laboratory,Container Leakage,HIGH RISK
Acrylic Acid (C₃H₄O₂),5,23,Carbon Steel (coated),11,Low,"Lab Coat, Gloves",Hazardous Material Room,Acid Spill,LOW RISK
Chloric Acid (HClO₃),7,19,Glass,13,Poor,"Safety Boots, Chemical-resistant Gloves, Chemical Suit, Full Body Protective Suit",Outdoor Storage,Toxic Gas Release,LOW RISK
Bromic Acid (HBrO₃),126,79,Stainless Steel,91,Good,"Gloves, Eye Wash Station Access, Respirator Mask",Chemical Storage Room,Acid Spill,HIGH RISK
Phosphoric Acid (H₃PO₄),133,52,PTFE (Teflon-lined),84,High,"Chemical-resistant Gloves, Safety Goggles, Safety Boots, Eye Wash Station Access, Gloves",Laboratory,None,HIGH RISK
Hypochlorous Acid (HClO),393,106,Carbon Steel (coated),102,Poor,"Face Shield, Lab Coat",Factory Floor,Toxic Gas Release,CRITICAL RISK
Iodic Acid (HIO₃),13,16,Stainless Steel,15,Low,"Full Body Protective Suit, Chemical-resistant Gloves",Cold Storage Unit,Corrosion Damage,LOW RISK
Lactic Acid (C₃H₆O₃),6,19,Fiber-Reinforced Plastic (FRP),2,Fume Hood Ventilation,"Lab Coat, Safety Goggles, Respirator Mask, Gloves, Chemical Suit",Chemical Storage Room,Acid Spill,LOW RISK
Gluconic Acid (C₆H₁₂O₇),169,81,PTFE (Teflon-lined),195,Poor,"Full Body Protective Suit, Chemical Suit",Laboratory,Fire Hazard,CRITICAL RISK
Methacrylic Acid (C₄H₆O₂),31,37,PVC (Polyvinyl Chloride),20,Fume Hood Ventilation,"Face Shield, Gloves, Lab Coat",Outdoor Storage,Fire Hazard,MEDIUM RISK
Sulfamic Acid (H₃NSO₃),32,31,HDPE Plastic,32,Good,"Eye Wash Station Access, Gloves, Full Body Protective Suit, Safety Goggles, Safety Boots",Warehouse,Toxic Gas Release,MEDIUM RISK
Methacrylic Acid (C₄H₆O₂),20,33,Carbon Steel (coated),19,Moderate,Respirator Mask,Laboratory,Corrosion Damage,MEDIUM RISK
Bromic Acid (HBrO₃),33,40,Fiber-Reinforced Plastic (FRP),39,Moderate,"Safety Goggles, Gloves, Full Body Protective Suit, Eye Wash Station Access",Underground Storage,Corrosion Damage,MEDIUM RISK
Dichloroacetic Acid (C₂H₂Cl₂O₂),45,44,HDPE Plastic,10,Good,"Chemical Suit, Eye Wash Station Access, Safety Goggles, Gloves",Underground Storage,Container Leakage,MEDIUM RISK
Adipic Acid (C₆H₁₀O₄),16,28,Carbon Steel (coated),14,Industrial Ventilation System,"Lab Coat, Safety Goggles",Laboratory,Fire Hazard,MEDIUM RISK
Acrylic Acid (C₃H₄O₂),53,41,Fiber-Reinforced Plastic (FRP),15,Fume Hood Ventilation,"Face Shield, Safety Boots, Safety Goggles",Hazardous Material Room,Explosion Risk,MEDIUM RISK
Silicic Acid (H₄SiO₄),216,119,Glass,123,Poor,Gloves,Underground Storage,Corrosion Damage,CRITICAL RISK
Hydrofluoric Acid (HF),114,72,PTFE (Teflon-lined),43,High,"Safety Boots, Face Shield",Factory Floor,None,HIGH RISK
Ascorbic Acid (C₆H₈O₆),6,28,HDPE Plastic,5,Industrial Ventilation System,"Full Body Protective Suit, Chemical-resistant Gloves, Safety Boots",Chemical Storage Room,Container Leakage,LOW RISK
Pyruvic Acid (C₃H₄O₃),59,72,HDPE Plastic,90,Fume Hood Ventilation,"Respirator Mask, Safety Goggles",Warehouse,None,HIGH RISK
Selenic Acid (H₂SeO₄),14,25,Glass,10,Poor,Full Body Protective Suit,Underground Storage,Explosion Risk,LOW RISK
Sulfuric Acid (H₂SO₄),4,28,Polypropylene,0,Industrial Ventilation System,"Respirator Mask, Face Shield",Outdoor Storage,Toxic Gas Release,LOW RISK
Bromic Acid (HBrO₃),5,30,HDPE Plastic,8,Low,"Face Shield, Full Body Protective Suit, Respirator Mask",Laboratory,Toxic Gas Release,LOW RISK
Boric Acid (H₃BO₃),135,66,Carbon Steel (coated),51,Moderate,"Chemical-resistant Gloves, Chemical Suit",Outdoor Storage,Acid Spill,HIGH RISK
Selenic Acid (H₂SeO₄),55,25,Borosilicate Glass,14,High,"Gloves, Chemical Suit, Respirator Mask, Full Body Protective Suit, Face Shield",Warehouse,Explosion Risk,MEDIUM RISK
Trifluoroacetic Acid (CF₃COOH),8,27,Carbon Steel (coated),7,Poor,Full Body Protective Suit,Cold Storage Unit,Fire Hazard,LOW RISK
Sulfuric Acid (H₂SO₄),105,54,Ceramic Containers,58,Fume Hood Ventilation,"Safety Goggles, Eye Wash Station Access, Lab Coat, Gloves, Chemical Suit",Factory Floor,Acid Burn,HIGH RISK
Palmitic Acid (C₁₆H₃₂O₂),19,36,Fiber-Reinforced Plastic (FRP),11,Moderate,"Chemical Suit, Full Body Protective Suit, Respirator Mask, Chemical-resistant Gloves, Safety Goggles",Factory Floor,Toxic Gas Release,MEDIUM RISK
Tannic Acid (C₇₆H₅₂O₄₆),138,101,PTFE (Teflon-lined),166,Good,"Chemical-resistant Gloves, Gloves, Safety Boots, Chemical Suit, Eye Wash Station Access",Chemical Storage Room,Acid Spill,CRITICAL RISK
Valeric Acid (C₅H₁₀O₂),18,41,PTFE (Teflon-lined),26,Fume Hood Ventilation,"Lab Coat, Face Shield, Chemical Suit, Eye Wash Station Access, Full Body Protective Suit",Hazardous Material Room,Explosion Risk,MEDIUM RISK
Succinic Acid (C₄H₆O₄),7,23,PVC (Polyvinyl Chloride),1,Low,"Safety Boots, Eye Wash Station Access, Safety Goggles",Factory Floor,Fire Hazard,LOW RISK
Hydrochloric Acid (HCl),184,77,Fiber-Reinforced Plastic (FRP),136,Poor,Respirator Mask,Cold Storage Unit,None,CRITICAL RISK
Carbonic Acid (H₂CO₃),81,47,Stainless Steel,52,Moderate,"Chemical Suit, Eye Wash Station Access, Gloves, Lab Coat",Outdoor Storage,Corrosion Damage,HIGH RISK
Bromic Acid (HBrO₃),40,43,Polypropylene,30,Fume Hood Ventilation,"Safety Goggles, Chemical Suit",Underground Storage,Fire Hazard,MEDIUM RISK
Pyruvic Acid (C₃H₄O₃),56,40,Stainless Steel,20,Poor,"Gloves, Eye Wash Station Access",Warehouse,Container Leakage,MEDIUM RISK
Palmitic Acid (C₁₆H₃₂O₂),420,98,Glass,191,Moderate,"Gloves, Safety Boots, Chemical Suit",Underground Storage,Acid Spill,CRITICAL RISK
Butyric Acid (C₄H₈O₂),48,37,Polypropylene,28,Fume Hood Ventilation,"Gloves, Eye Wash Station Access, Full Body Protective Suit, Safety Goggles, Face Shield",Factory Floor,Acid Spill,MEDIUM RISK
Oxalic Acid (C₂H₂O₄),90,65,Carbon Steel (coated),78,High,"Safety Goggles, Respirator Mask, Full Body Protective Suit, Face Shield, Eye Wash Station Access",Outdoor Storage,Toxic Gas Release,HIGH RISK
Boric Acid (H₃BO₃),3,19,Fiber-Reinforced Plastic (FRP),12,Industrial Ventilation System,Eye Wash Station Access,Laboratory,Acid Burn,LOW RISK
Bromic Acid (HBrO₃),84,67,Borosilicate Glass,38,Moderate,Respirator Mask,Underground Storage,Explosion Risk,HIGH RISK
Ascorbic Acid (C₆H₈O₆),398,118,PTFE (Teflon-lined),122,Poor,"Safety Boots, Eye Wash Station Access, Respirator Mask, Full Body Protective Suit, Gloves",Chemical Storage Room,None,CRITICAL RISK
Sulfuric Acid (H₂SO₄),11,31,PVC (Polyvinyl Chloride),31,Low,Chemical Suit,Hazardous Material Room,Fire Hazard,MEDIUM RISK
Sulfuric Acid (H₂SO₄),341,98,HDPE Plastic,115,Poor,"Lab Coat, Chemical-resistant Gloves, Safety Goggles, Face Shield, Eye Wash Station Access",Underground Storage,Container Leakage,CRITICAL RISK
Selenic Acid (H₂SeO₄),11,25,Stainless Steel,36,Moderate,"Chemical-resistant Gloves, Full Body Protective Suit, Face Shield",Underground Storage,Toxic Gas Release,MEDIUM RISK
Citric Acid (C₆H₈O₇),95,64,PVC (Polyvinyl Chloride),75,High,"Full Body Protective Suit, Chemical Suit, Chemical-resistant Gloves, Gloves",Outdoor Storage,Fire Hazard,HIGH RISK
Perchloric Acid (HClO₄),271,116,HDPE Plastic,172,High,"Chemical-resistant Gloves, Respirator Mask, Gloves, Full Body Protective Suit, Face Shield",Laboratory,Explosion Risk,CRITICAL RISK
Tannic Acid (C₇₆H₅₂O₄₆),160,44,Polypropylene,34,High,"Eye Wash Station Access, Full Body Protective Suit",Underground Storage,None,HIGH RISK
Tannic Acid (C₇₆H₅₂O₄₆),2,22,Borosilicate Glass,4,Low,"Safety Boots, Face Shield",Warehouse,Acid Burn,LOW RISK
Hydrofluoric Acid (HF),11,23,PTFE (Teflon-lined),6,Good,Respirator Mask,Laboratory,Acid Spill,LOW RISK
Carbonic Acid (H₂CO₃),10,29,Ceramic Containers,3,High,"Full Body Protective Suit, Safety Boots",Hazardous Material Room,Container Leakage,LOW RISK
Carbonic Acid (H₂CO₃),131,93,Carbon Steel (coated),232,Moderate,"Face Shield, Safety Goggles, Gloves, Lab Coat",Cold Storage Unit,Container Leakage,CRITICAL RISK
Picric Acid (C₆H₃N₃O₇),132,85,Ceramic Containers,167,Poor,Safety Boots,Chemical Storage Room,Acid Burn,CRITICAL RISK
Silicic Acid (H₄SiO₄),43,63,Polypropylene,34,Good,"Safety Boots, Eye Wash Station Access",Warehouse,Acid Burn,HIGH RISK
